-0.511051122E1,   -0.515205193E1,   -0.524089036E1,   -0.534645335E1,   -0.514608170E1
-0.422732988E1,   -0.486213195E1,   -0.147490885E1,   -0.442765927E1,   -0.564430900E1
-0.112720036E1,   -0.182744818E1,   -0.412069851E1,   -0.483330518E1,   -0.938734989E0
0.909366063E0,   0.114092429E1,   0.251441807E1,     0.143873251E1,     0.483260368E0
0.477208278E-1,   0.353463551E0,   0.131550606E1,   0.145157319E1,   0.404430893E0
-0.475987004E0,   -0.249962307E0,   -0.137446534E0,   0.143861202E1,   -0.531440872E0
0.494135315E-1,   -0.582318500E-2,   0.688507262E0,   0.347184150E-1,   -0.302484884E0
-0.846846770E0,   -0.100082249E1,   -0.180046641E1,   -0.125608697E1,   -0.621725001E0
-0.155550814E1,   -0.138788868E1,   -0.150745124E1,   -0.153475063E1,   -0.136793827E1
0.190747072E-1,   0.242061782E-1,   0.343911021E-1,   0.488093390E-1,   0.219960910E-1
